id,l1,l2,useful_ratio,waste_label
0,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
1,Correct,N/A,0.7,Overly Verbose but Largely Correct
2,Correct,N/A,0.6,Overly Verbose but Largely Correct
3,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucinated or Incorrect Reasoning
4,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
5,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
6,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
7,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Speculative Guessing and Coordinate Padding
8,Correct,N/A,0.7,Minor Redundancy and Repetition
9,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
10,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
11,Correct,N/A,0.3,Overly Verbose but Largely Correct
12,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Irrelevant or Off-Task Discussion
13,Correct,N/A,0.7,Minor Redundancy and Repetition
14,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.1,Hallucinated or Incorrect Reasoning
15,Correct,N/A,0.4,Irrelevant or Off-Task Discussion
16,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
17,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Overly Verbose but Largely Correct
18,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
19,Correct,N/A,0.5,Overly Verbose but Largely Correct
20,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
21,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
22,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
23,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucinated or Incorrect Reasoning
24,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
25,Correct,N/A,0.4,Overly Verbose but Largely Correct
26,Correct,N/A,0.05,Minor Redundancy and Repetition
27,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucinated or Incorrect Reasoning
28,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.1,Hallucinated or Incorrect Reasoning
29,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
30,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
31,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Overly Verbose but Largely Correct
32,Correct,N/A,0.4,Minor Redundancy and Repetition
33,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.4,Hallucinated or Incorrect Reasoning
34,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
35,Correct,N/A,0.4,Hallucinated or Incorrect Reasoning
36,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
37,Correct,N/A,0.4,Speculative Guessing and Coordinate Padding
38,Correct,N/A,0.8,Overly Verbose but Largely Correct
39,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
40,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Overly Verbose but Largely Correct
41,Correct,N/A,0.6,Overly Verbose but Largely Correct
42,Correct,N/A,0.5,Overly Verbose but Largely Correct
43,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
44,Correct,N/A,0.4,Overly Verbose but Largely Correct
45,Correct,N/A,0.4,Hallucinated or Incorrect Reasoning
46,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucinated or Incorrect Reasoning
47,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Speculative Guessing and Coordinate Padding
48,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
49,Correct,N/A,0.8,Overly Verbose but Largely Correct
50,Correct,N/A,0.7,Overly Verbose but Largely Correct
51,Visual Perception Failure,Action / Event Misperception,0.4,Hallucinated or Incorrect Reasoning
52,Correct,N/A,0.6,Hallucinated or Incorrect Reasoning
53,Correct,N/A,0.6,Overly Verbose but Largely Correct
54,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Irrelevant or Off-Task Discussion
55,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
56,Correct,N/A,0.8,Overly Verbose but Largely Correct
57,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Hallucinated or Incorrect Reasoning
58,Correct,N/A,0.4,Minor Redundancy and Repetition
59,Correct,N/A,0.7,Minor Redundancy and Repetition
60,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Minor Redundancy and Repetition
61,Correct,N/A,0.6,Minor Redundancy and Repetition
62,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
63,Correct,N/A,0.8,Overly Verbose but Largely Correct
64,Correct,N/A,0.9,Overly Verbose but Largely Correct
65,Correct,N/A,0.6,Overly Verbose but Largely Correct
66,Correct,N/A,0.9,Minor Redundancy and Repetition
67,Correct,N/A,0.7,Overly Verbose but Largely Correct
68,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Speculative Guessing and Coordinate Padding
69,Visual Perception Failure,Object Presence / State Tracking Error,0.9,Minor Redundancy and Repetition
70,Correct,N/A,0.6,Overly Verbose but Largely Correct
71,Correct,N/A,0.3,Speculative Guessing and Coordinate Padding
72,Correct,N/A,0.9,Minor Redundancy and Repetition
73,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Speculative Guessing and Coordinate Padding
74,Correct,N/A,0.7,Overly Verbose but Largely Correct
75,Correct,N/A,0.9,Minor Redundancy and Repetition
76,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Hallucinated or Incorrect Reasoning
77,Correct,N/A,0.3,Hallucinated or Incorrect Reasoning
78,Correct,N/A,0.7,Overly Verbose but Largely Correct
79,Correct,N/A,0.8,Minor Redundancy and Repetition
80,Correct,N/A,0.85,Minor Redundancy and Repetition
81,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Hallucinated or Incorrect Reasoning
82,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.25,Minor Redundancy and Repetition
83,Visual Perception Failure,Action / Event Misperception,0.15,Minor Redundancy and Repetition
84,Correct,N/A,0.5,Overly Verbose but Largely Correct
85,Correct,N/A,0.9,Minor Redundancy and Repetition
86,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
87,Correct,N/A,0.8,Overly Verbose but Largely Correct
88,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Speculative Guessing and Coordinate Padding
89,Correct,N/A,0.6,Overly Verbose but Largely Correct
90,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
91,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
92,Correct,N/A,0.7,Overly Verbose but Largely Correct
93,Correct,N/A,0.6,Overly Verbose but Largely Correct
94,Correct,N/A,0.7,Overly Verbose but Largely Correct
95,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.25,Minor Redundancy and Repetition
96,Correct,N/A,0.9,Minor Redundancy and Repetition
97,Correct,N/A,0.7,Overly Verbose but Largely Correct
98,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucinated or Incorrect Reasoning
99,Correct,N/A,0.7,Overly Verbose but Largely Correct
100,Correct,N/A,0.9,Minor Redundancy and Repetition
101,Correct,N/A,0.7,Minor Redundancy and Repetition
102,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
103,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant or Off-Task Discussion
104,Visual Perception Failure,Action / Event Misperception,0.3,Hallucinated or Incorrect Reasoning
105,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Hallucinated or Incorrect Reasoning
