id,l1,l2,useful_ratio,waste_cat,waste_root,pred_len
0,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1725
1,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1414
2,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2885
3,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Hallucination / Fabrication,Fabricated Causal Stories,2245
4,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,535
5,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1700
6,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1486
7,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,404
8,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2364
9,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1481
10,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2647
11,Correct,N/A,0.3,Over-Verbose / Padding,Excessive Narrative Detail,2031
12,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,921
13,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1338
14,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1167
15,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,611
16,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Over-Verbose / Padding,Excessive Narrative Detail,3461
17,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Over-Verbose / Padding,Excessive Narrative Detail,3266
18,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,426
19,Correct,N/A,0.5,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,441
20,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2388
21,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2306
22,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,2508
23,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2911
24,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1792
25,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,622
26,Correct,N/A,0.05,Over-Verbose / Padding,Excessive Narrative Detail,32767
27,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1503
28,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1824
29,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,1894
30,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2567
31,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,3130
32,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,3070
33,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2007
34,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Hallucination / Fabrication,Fabricated Objects or Options,1504
35,Correct,N/A,0.4,Hallucination / Fabrication,Fabricated Timeline or Events,2788
36,Visual Perception Failure,Action / Event Misperception,0.2,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1416
37,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2285
38,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1505
39,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,657
40,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2838
41,Correct,N/A,0.6,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,2591
42,Correct,N/A,0.5,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1532
43,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2244
44,Correct,N/A,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1848
45,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1522
46,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1755
47,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1554
48,Visual Perception Failure,Action / Event Misperception,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1600
49,Correct,N/A,0.8,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1416
50,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1845
51,Visual Perception Failure,Action / Event Misperception,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,983
52,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,946
53,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2500
54,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1654
55,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1750
56,Correct,N/A,0.8,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1401
57,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2693
58,Correct,N/A,0.4,Over-Verbose / Padding,Redundant Restatement,2934
59,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1202
60,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.05,Over-Verbose / Padding,Redundant Restatement,32767
61,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1880
62,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,977
63,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1487
64,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1389
65,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2208
66,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,984
67,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1322
68,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,3033
69,Visual Perception Failure,Object Presence / State Tracking Error,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,890
70,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1949
71,Correct,N/A,0.3,Over-Verbose / Padding,Excessive Narrative Detail,7743
72,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,804
73,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1675
74,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1246
75,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1137
76,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,2299
77,Correct,N/A,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,2545
78,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1373
79,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1548
80,Correct,N/A,0.85,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1575
81,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2789
82,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.25,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,32767
83,Visual Perception Failure,Action / Event Misperception,0.15,Over-Verbose / Padding,Redundant Restatement,32767
84,Correct,N/A,0.5,Over-Verbose / Padding,Excessive Narrative Detail,1436
85,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1606
86,Visual Perception Failure,Action / Event Misperception,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1773
87,Correct,N/A,0.8,Over-Verbose / Padding,Excessive Narrative Detail,1298
88,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2772
89,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1337
90,Visual Perception Failure,Action / Event Misperception,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1637
91,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1542
92,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,987
93,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1169
94,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,861
95,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.25,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,32767
96,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1273
97,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,1680
98,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1347
99,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,1326
100,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,926
101,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,721
102,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,1982
103,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1893
104,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1483
105,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1127
106,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,1195
107,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucination / Fabrication,Fabricated Objects or Options,1770
108,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1988
109,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1750
110,Correct,N/A,0.6,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,1840
111,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,909
112,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,16886
113,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1553
114,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,2195
115,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,3200
116,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,3045
117,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,863
118,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1453
119,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.5,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1891
120,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1247
121,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1117
122,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,1225
123,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Hallucination / Fabrication,Fabricated Timeline or Events,3032
124,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,2646
125,Visual Perception Failure,Object Presence / State Tracking Error,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2021
126,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2668
127,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1129
